;City;Pop size;lat;long
142;Pisogne;8115;45.8057312;10.1081901
143;Polaveno;2715;45.661484;10.123964
144;Polpenazze del Garda;2572;45.551185;10.504875
145;Pompiano;3911;45.431977;9.989265
146;Poncarale;5269;45.4606628;10.1739092
147;Ponte di Legno;1771;46.258603;10.508662
148;Pontevico;7221;45.274374;10.092471
149;Pontoglio;7009;45.56938;9.85346
150;Pozzolengo;3436;45.4059696;10.6313729
151;Pralboino;2981;45.2679989;10.2174131
152;Preseglie;1595;45.668287;10.39677
153;Prestine;402;45.9308588;10.3103078
154;Prevalle;6995;45.5514816;10.421857
155;Provaglio d'Iseo;7137;45.6359706;10.0441674
156;Provaglio Val Sabbia;969;45.6848636;10.4366014
157;Puegnago sul Garda;3258;45.5656922;10.51147
158;Quinzano d'Oglio;6483;45.310875;10.008568
159;Remedello;3404;45.27147;10.3688024528361
160;Rezzato;13429;45.514182;10.316671
161;Roccafranca;4819;45.4642998;9.9140564
162;Rodengo Saiano;8858;45.5976458;10.1094679
163;Roè Volciano;4496;45.6167638;10.4958703
164;Roncadelle;9369;45.5276081;10.1497012
165;Rovato;18352;45.5670385;9.9986008
166;Rudiano;5861;45.488578;9.887062
167;Sabbio Chiese;3807;45.658587;10.420571
168;Sale Marasino;3387;45.715453;10.1111391
169;Salò;10740;45.6056775;10.520069
170;San Felice del Benaco;3424;45.5895461;10.5517327
171;San Gervasio Bresciano;2470;45.307376;10.148671
172;San Paolo;4553;45.370576;10.026767
173;San Zeno Naviglio;4671;45.4915723;10.2170575
174;Sarezzo;13430;45.6618702;10.1958762
175;Saviore dell'Adamello;1021;46.080497;10.399663
176;Sellero;1497;46.0559889;10.3439901
177;Seniga;1615;45.242674;10.177973
178;Serle;3119;45.570284;10.366071
179;Sirmione;8150;45.4688494;10.6078237
180;Soiano del Lago;1863;45.527784;10.512675
181;Sonico;1269;45.6531729;10.2777117
182;Sulzano;1956;45.690385;10.100963
183;Tavernole sul Mella;1411;45.746987;10.240565
184;Temù;1085;46.2492143;10.46805
185;Tignale;1312;45.7397806;10.7217649
186;Torbole Casaglia;6332;45.5053097;10.1024645
187;Toscolano-Maderno;8111;45.6345303;10.6095208
188;Travagliato;13415;45.5239055;10.0797833
189;Tremosine;2154;45.79190555;10.7311310679556
190;Trenzano;5551;45.477279;10.010665
191;Treviso Bresciano;568;45.71193515;10.4622942169115
192;Urago d'Oglio;4052;45.515978;9.869661
193;Vallio Terme;1337;45.6101932;10.3901746
194;Valvestino;214;45.76290825;10.5910267515906
195;Verolanuova;8183;45.3285814;10.0760863
196;Verolavecchia;3903;45.3270123;10.0572562
197;Vestone;4509;45.7106412;10.4034707
198;Vezza d'Oglio;1475;46.2402134;10.3997325
199;Villa Carcina;10997;45.632214;10.1944422
200;Villachiara;1456;45.355375;9.930966
201;Villanuova sul Clisi;5855;45.6016804;10.4538721
202;Vione;729;46.248402;10.447161
203;Visano;1953;45.318378;10.372376
204;Vobarno;8259;45.6436432;10.499454
205;Zone;1110;45.7634448;10.1158821
